,grado,betweenness_no_dirigida,tipo_nodo
1,0.5357142857142857,0.019841269841269837,sensor (source)
2,0.5357142857142857,0.019841269841269837,sensor (source)
13,0.5357142857142857,0.019841269841269837,sensor (source)
12,0.5357142857142857,0.019841269841269837,sensor (source)
11,0.5357142857142857,0.019841269841269837,sensor (source)
10,0.5357142857142857,0.019841269841269837,sensor (source)
9,0.5357142857142857,0.019841269841269837,sensor (source)
8,0.5357142857142857,0.019841269841269837,sensor (source)
7,0.5357142857142857,0.019841269841269837,sensor (source)
6,0.5357142857142857,0.019841269841269837,sensor (source)
5,0.5357142857142857,0.019841269841269837,sensor (source)
4,0.5357142857142857,0.019841269841269837,sensor (source)
3,0.5357142857142857,0.019841269841269837,sensor (source)
14,0.5357142857142857,0.019841269841269837,sensor (source)
15,0.5,0.01604938271604938,gateway (target)
29,0.5,0.01604938271604938,gateway (target)
27,0.5,0.01604938271604938,gateway (target)
26,0.5,0.01604938271604938,gateway (target)
25,0.5,0.01604938271604938,gateway (target)
24,0.5,0.01604938271604938,gateway (target)
23,0.5,0.01604938271604938,gateway (target)
22,0.5,0.01604938271604938,gateway (target)
21,0.5,0.01604938271604938,gateway (target)
20,0.5,0.01604938271604938,gateway (target)
19,0.5,0.01604938271604938,gateway (target)
18,0.5,0.01604938271604938,gateway (target)
17,0.5,0.01604938271604938,gateway (target)
16,0.5,0.01604938271604938,gateway (target)
28,0.5,0.01604938271604938,gateway (target)
