,grado_total,in_degree_c,out_degree_c,betweenness_no_dirigida,volumen_telemetria,tipo_nodo
119,0.7101449275362319,0.0,0.7101449275362319,0.03774036949149268,120,subestacion (source)
103,0.6811594202898551,0.0,0.6811594202898551,0.03456373029583566,114,subestacion (source)
105,0.6666666666666666,0.0,0.6666666666666666,0.03334111498638863,112,subestacion (source)
112,0.6666666666666666,0.0,0.6666666666666666,0.032847420595498264,108,subestacion (source)
110,0.6521739130434783,0.0,0.6521739130434783,0.030797373288454506,87,subestacion (source)
114,0.6376811594202899,0.0,0.6376811594202899,0.030580503369545008,103,subestacion (source)
101,0.6376811594202899,0.0,0.6376811594202899,0.030241711742387274,89,subestacion (source)
115,0.6376811594202899,0.0,0.6376811594202899,0.029618277427874658,101,subestacion (source)
104,0.6376811594202899,0.0,0.6376811594202899,0.029217416891559368,101,subestacion (source)
118,0.6231884057971014,0.0,0.6231884057971014,0.029082617206541247,89,subestacion (source)
106,0.6231884057971014,0.0,0.6231884057971014,0.02905087166469288,96,subestacion (source)
111,0.6231884057971014,0.0,0.6231884057971014,0.02842476662124989,106,subestacion (source)
113,0.6231884057971014,0.0,0.6231884057971014,0.02796065118693306,101,subestacion (source)
116,0.6086956521739131,0.0,0.6086956521739131,0.027441814567392572,108,subestacion (source)
108,0.5942028985507246,0.0,0.5942028985507246,0.025989857760857674,97,subestacion (source)
117,0.5942028985507246,0.0,0.5942028985507246,0.02570361418475711,94,subestacion (source)
107,0.5942028985507246,0.0,0.5942028985507246,0.02547562761943683,87,subestacion (source)
109,0.5797101449275363,0.0,0.5797101449275363,0.024775169111378285,95,subestacion (source)
100,0.5797101449275363,0.0,0.5797101449275363,0.023479642785693228,106,subestacion (source)
102,0.5652173913043478,0.0,0.5652173913043478,0.023377594129567456,86,subestacion (source)
202,0.2898550724637681,0.2898550724637681,0.0,0.003755849901002291,41,nodo de carga (target)
240,0.2753623188405797,0.2753623188405797,0.0,0.003434422511725096,41,nodo de carga (target)
222,0.2753623188405797,0.2753623188405797,0.0,0.003422635690596516,39,nodo de carga (target)
211,0.2753623188405797,0.2753623188405797,0.0,0.0034187754441391974,49,nodo de carga (target)
238,0.2753623188405797,0.2753623188405797,0.0,0.003386843587828154,47,nodo de carga (target)
218,0.2753623188405797,0.2753623188405797,0.0,0.0033722672893658125,46,nodo de carga (target)
209,0.2753623188405797,0.2753623188405797,0.0,0.0033575210598837386,49,nodo de carga (target)
225,0.2753623188405797,0.2753623188405797,0.0,0.003349719690844512,44,nodo de carga (target)
227,0.2753623188405797,0.2753623188405797,0.0,0.0033231481803178884,39,nodo de carga (target)
245,0.2753623188405797,0.2753623188405797,0.0,0.00330468868477594,41,nodo de carga (target)
226,0.2753623188405797,0.2753623188405797,0.0,0.00330468868477594,45,nodo de carga (target)
242,0.2608695652173913,0.2608695652173913,0.0,0.003059663388945414,42,nodo de carga (target)
246,0.2608695652173913,0.2608695652173913,0.0,0.0030422334072994963,38,nodo de carga (target)
221,0.2608695652173913,0.2608695652173913,0.0,0.0030266617569167033,42,nodo de carga (target)
233,0.2608695652173913,0.2608695652173913,0.0,0.003019018269346999,54,nodo de carga (target)
207,0.2608695652173913,0.2608695652173913,0.0,0.0029927703164419703,48,nodo de carga (target)
200,0.2608695652173913,0.2608695652173913,0.0,0.0029919301181678703,29,nodo de carga (target)
212,0.2608695652173913,0.2608695652173913,0.0,0.0029828852192103827,41,nodo de carga (target)
205,0.2608695652173913,0.2608695652173913,0.0,0.0029810961619063463,32,nodo de carga (target)
244,0.2608695652173913,0.2608695652173913,0.0,0.0029701263011207802,47,nodo de carga (target)
210,0.2608695652173913,0.2608695652173913,0.0,0.0029675937963391024,42,nodo de carga (target)
239,0.2608695652173913,0.2608695652173913,0.0,0.002959102876510138,46,nodo de carga (target)
220,0.2608695652173913,0.2608695652173913,0.0,0.002956681743676954,47,nodo de carga (target)
204,0.2608695652173913,0.2608695652173913,0.0,0.0029548029538941285,35,nodo de carga (target)
230,0.2608695652173913,0.2608695652173913,0.0,0.0029456956657192518,41,nodo de carga (target)
228,0.2608695652173913,0.2608695652173913,0.0,0.002933877734106207,46,nodo de carga (target)
219,0.2463768115942029,0.2463768115942029,0.0,0.0026920643960964287,38,nodo de carga (target)
236,0.2463768115942029,0.2463768115942029,0.0,0.0026913792829737324,36,nodo de carga (target)
